volunteer program,,1
outdoor recreation,What ever type of outdoor recreation you enjoy chances are Big South Fork National River and Recreation Area has a place you can do it.  The hardest part of your visit may be deciding which trail overlook historic site natural feature or program to try next!,1
sunset,Want to watch a sunset?  Do you get up early enough to enjoy a sunrise?  There are overlooks all along the Big South Fork River gorge where you can catch the suns first or last rays of the day.,1
hiking,Hiking on your agenda?  You can choose from any number of hikes ranging from a lazy stroll along the river to a multi-day hike through the backcountry.,1
horse riding,"Do you have a horse?  Big South Fork has miles of horse trails, stabling facilities at Bandy Creek Stables and even two equestrian campgrounds at Station Camp in Tenn. and Bear Creek in Ky.",1
coal mine visit,Want to visit a company town and enter a coal mine?  Visit the Blue Heron Mining Community a coal mining town once owned by the Stearns Coal and Lumber Company.  You can even ride the Big South Fork Scenic Railway from Stearns into Blue Heron. ,1
row boat,"Looking for something a little more extreme.  Try whitewater rafting the Big South Fork River, mountain biking through the backcountry or rock climbing on the miles of cliff lines throughout the park.",1
Biking,"Looking for something a little more extreme.  Try whitewater rafting the Big South Fork River, mountain biking through the backcountry or rock climbing on the miles of cliff lines throughout the park.",1
rock climbing,"Looking for something a little more extreme.  Try whitewater rafting the Big South Fork River, mountain biking through the backcountry or rock climbing on the miles of cliff lines throughout the park.",1
Explore This Park,,2
Solar eclipse,2017 Solar Eclipse at Yellowstone,3
hiking,,3
Camping,,3
Biking,,3
row boat,,3
Fishing,,3
Camping,,4
Backpacking,,4
Photography,,4
Birdwatching,,4
Fishing,,4
horse riding,,4
hiking,,5
Fishing,,5
hiking,,6
Fishing,,6
Birdwatching,,6
hiking,,7
sea shore,,8
Birdwatching,,8
hiking,,9
Camping,,9
swimming,,10
hiking,,11
stargazing,,12
scenic drive,,12
american culture,,13
swamps,,13
waterfall,,13
Mount Rushmore Audio Tour,,14
hiking,,15
american culture,,15
hiking,,16
Camping,,16
hiking,,17
Camping,,17
swimming,,18
Camping,,18
sand,,19
Camping,,19
hiking,,20
Camping,,20
hiking,,21
Camping,,21
Backpacking,,22
Camping,,22
american culture,,23
hiking,,24
Camping,,24
Camping,,25
hiking,,25
row boat,,26
Fishing,,27
swimming,,27
kayaking,,27
Biking,,27
Camping,,28
Photography,,28
Fishing,,28
row boat,,28
ski,,28
row boat,,29
glacier,,29
hiking,,30
Camping,,30