Humid Subtropical,1
Mediterranean,2
Humid Subtropical,3
Mediterranean,4
Mediterranean,5
Humid Subtropical,6
Continental Humid,7
Continental Humid,8
Mediterranean,9
Mediterranean,10
Continental Humid,11
Semiarid,12
Mediterranean,13
Mediterranean,14
Mediterranean,15
Continental Humid,16
Semiarid,17
Semiarid,18
Desert,19
Desert,20
Continental Humid,21
Plain,22
Continental Humid,23
Continental Humid,24
Continental Humid,25
Semiarid,26
Semiarid,27
Glacier,28
Glacier,29
Semiarid,30